id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Static,Blue Marble,ambient,calm,0.22,58,0.52,0.34,0.95
12,Late Night Lanterns,Paper Lanterns,indie pop,moody,0.61,102,0.58,0.69,0.41
13,Basement Sparks,Static Youth,rock,angry,0.89,148,0.32,0.57,0.08
14,Golden Hour Run,Max Pulse,pop,happy,0.86,126,0.88,0.91,0.09
15,Velvet Signals,Neon Echo,synthwave,focused,0.68,116,0.55,0.76,0.19
16,Dusty Vinyl Morning,Slow Stereo,jazz,calm,0.31,84,0.67,0.49,0.93
17,Circuit Hearts,Voltline,electropop,happy,0.83,128,0.86,0.87,0.12
18,Monsoon Letters,Paper Lanterns,acoustic,sad,0.27,70,0.34,0.38,0.97
